FlightNumber,Date,BoosterVersion,PayloadMass,Payload,Orbit,LaunchSite,LandingOutcome,Flights,GridFins,Reused,Legs,LandingPad,Block,Customers,Mission_Outcome,ReusedCount,Serial,Longitude,Latitude,Class
1,2010-06-04,Falcon 9,6123.547647058824,Dragon Qualification Unit,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SpaceX,True,0,B0003,-80.577366,28.5618571,0
2,2012-05-22,Falcon 9,525.0,COTS Demo Flight 2,LEO,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA(COTS),True,0,B0005,-80.577366,28.5618571,0
3,2013-03-01,Falcon 9,677.0,CRS-2,ISS,CCSFS SLC 40,None None,1,False,False,False,,1.0,NASA (CRS),True,0,B0007,-80.577366,28.5618571,0
4,2013-09-29,Falcon 9,500.0,CASSIOPE,PO,VAFB SLC 4E,False Ocean,1,False,False,False,,1.0,MDA,True,0,B1003,-120.610829,34.632093,0
5,2013-12-03,Falcon 9,3170.0,SES-8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,SES,True,0,B1004,-80.577366,28.5618571,0
6,2014-01-06,Falcon 9,3325.0,Thaicom 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Thaicom,True,0,B1005,-80.577366,28.5618571,0
7,2014-04-18,Falcon 9,2296.0,CRS-3,ISS,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,NASA (CRS),True,0,B1006,-80.577366,28.5618571,1
8,2014-07-14,Falcon 9,1316.0,Orbcomm-OG2-M1,LEO,CCSFS SLC 40,True Ocean,1,False,False,True,,1.0,Orbcomm,True,0,B1007,-80.577366,28.5618571,1
9,2014-08-05,Falcon 9,4535.0,AsiaSat 8,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1008,-80.577366,28.5618571,0
10,2014-09-07,Falcon 9,4428.0,AsiaSat 6,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,AsiaSat,True,0,B1011,-80.577366,28.5618571,0
11,2014-09-21,Falcon 9,2216.0,CRS-4,ISS,CCSFS SLC 40,False Ocean,1,False,False,False,,1.0,NASA (CRS),True,0,B1010,-80.577366,28.5618571,0
12,2015-01-10,Falcon 9,2395.0,CRS-5,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1012,-80.577366,28.5618571,0
13,2015-02-11,Falcon 9,570.0,DSCOVR,ES-L1,CCSFS SLC 40,True Ocean,1,True,False,True,,1.0,"NASA,NOAA,USAF",True,0,B1013,-80.577366,28.5618571,1
14,2015-04-14,Falcon 9,1898.0,CRS-6,ISS,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb761634e7cb,1.0,NASA (CRS),True,0,B1015,-80.577366,28.5618571,0
15,2015-04-27,Falcon 9,4707.0,TürkmenÄlem 52°E / MonacoSAT,GTO,CCSFS SLC 40,None None,1,False,False,False,,1.0,Turkmenistan National Space Agency,True,0,B1016,-80.577366,28.5618571,0
16,2015-06-28,Falcon 9,2477.0,CRS-7,ISS,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,NASA (CRS),False,0,B1018,-80.577366,28.5618571,0
17,2015-12-22,Falcon 9,2034.0,Orbcomm-OG2-M2,LEO,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,1.0,Orbcomm,True,0,B1019,-80.577366,28.5618571,1
18,2016-01-17,Falcon 9,553.0,Jason-3,PO,VAFB SLC 4E,False ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,1.0,"NASA,NOAA",True,0,B1017,-120.610829,34.632093,0
19,2016-03-04,Falcon 9,5271.0,SES-9,GTO,CCSFS SLC 40,False ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,1.0,SES,True,0,B1020,-80.577366,28.5618571,0
20,2016-04-08,Falcon 9,3136.0,CRS-8,ISS,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,NASA (CRS),True,1,B1021,-80.577366,28.5618571,1
21,2016-05-06,Falcon 9,4696.0,JCSAT-2B,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JSAT Group,True,0,B1022,-80.577366,28.5618571,1
22,2016-05-27,Falcon 9,3100.0,Thaicom 8,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,Thaicom,True,1,B1023,-80.577366,28.5618571,1
23,2016-07-18,Falcon 9,2257.0,CRS-9,ISS,CCSFS SLC 40,True RTLS,1,True,False,True,5e9e3032383ecb267a34e7c7,2.0,NASA (CRS),True,1,B1025,-80.577366,28.5618571,1
24,2016-08-14,Falcon 9,4600.0,JCSAT-16,GTO,CCSFS SLC 40,True ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,2.0,SKY Perfect JCSAT Group,True,0,B1026,-80.577366,28.5618571,1
25,2016-09-01,Falcon 9,5500.0,Amos-6,GTO,CCSFS SLC 40,None ASDS,1,True,False,True,5e9e3032383ecb6bb234e7ca,3.0,Spacecom,False,0,B1028,-80.577366,28.5618571,0
26,2017-01-14,Falcon 9,9600.0,Iridium NEXT 1,PO,VAFB SLC 4E,True ASDS,1,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,Iridium Communications,True,1,B1029,-120.610829,34.632093,1
